sample_id(HipSci_cellline_id)	fastq1_file	fastq2_file
SAMEA2547615	ERR1243466/ERR1243466_1.fastq.gz	ERR1243466/ERR1243466_2.fastq.gz
SAMEA2547616	ERR946970/ERR946970_1.fastq.gz	ERR946970/ERR946970_2.fastq.gz
SAMEA2547616	ERR946995/ERR946995_1.fastq.gz	ERR946995/ERR946995_2.fastq.gz
SAMEA2547619	ERR914288/ERR914288_1.fastq.gz	ERR914288/ERR914288_2.fastq.gz
SAMEA2547619	ERR914324/ERR914324_1.fastq.gz	ERR914324/ERR914324_2.fastq.gz
SAMEA2547622	ERR946987/ERR946987_1.fastq.gz	ERR946987/ERR946987_2.fastq.gz
SAMEA2547622	ERR947012/ERR947012_1.fastq.gz	ERR947012/ERR947012_2.fastq.gz
SAMEA2547633	ERR946982/ERR946982_1.fastq.gz	ERR946982/ERR946982_2.fastq.gz
SAMEA2547633	ERR947007/ERR947007_1.fastq.gz	ERR947007/ERR947007_2.fastq.gz
SAMEA2547637	ERR946981/ERR946981_1.fastq.gz	ERR946981/ERR946981_2.fastq.gz
SAMEA2547637	ERR947006/ERR947006_1.fastq.gz	ERR947006/ERR947006_2.fastq.gz
SAMEA2547644	ERR946983/ERR946983_1.fastq.gz	ERR946983/ERR946983_2.fastq.gz
SAMEA2547644	ERR947008/ERR947008_1.fastq.gz	ERR947008/ERR947008_2.fastq.gz
SAMEA2547899	ERR946991/ERR946991_1.fastq.gz	ERR946991/ERR946991_2.fastq.gz
SAMEA2547899	ERR947016/ERR947016_1.fastq.gz	ERR947016/ERR947016_2.fastq.gz
SAMEA2555012	ERR946976/ERR946976_1.fastq.gz	ERR946976/ERR946976_2.fastq.gz
SAMEA2555012	ERR947001/ERR947001_1.fastq.gz	ERR947001/ERR947001_2.fastq.gz
SAMEA2555017	ERR946986/ERR946986_1.fastq.gz	ERR946986/ERR946986_2.fastq.gz
SAMEA2555017	ERR947011/ERR947011_1.fastq.gz	ERR947011/ERR947011_2.fastq.gz
SAMEA2570426	ERR1724696/ERR1724696_1.fastq.gz	ERR1724696/ERR1724696_2.fastq.gz
SAMEA2570426	ERR1743786/ERR1743786_1.fastq.gz	ERR1743786/ERR1743786_2.fastq.gz
SAMEA2570432	ERR1274906/ERR1274906_1.fastq.gz	ERR1274906/ERR1274906_2.fastq.gz
SAMEA2570432	ERR1274914/ERR1274914_1.fastq.gz	ERR1274914/ERR1274914_2.fastq.gz
SAMEA2570435	ERR914294/ERR914294_1.fastq.gz	ERR914294/ERR914294_2.fastq.gz
SAMEA2570435	ERR914330/ERR914330_1.fastq.gz	ERR914330/ERR914330_2.fastq.gz
SAMEA2590621	ERR914281/ERR914281_1.fastq.gz	ERR914281/ERR914281_2.fastq.gz
SAMEA2590621	ERR914317/ERR914317_1.fastq.gz	ERR914317/ERR914317_2.fastq.gz
SAMEA2593858	ERR914304/ERR914304_1.fastq.gz	ERR914304/ERR914304_2.fastq.gz
SAMEA2593858	ERR914340/ERR914340_1.fastq.gz	ERR914340/ERR914340_2.fastq.gz
SAMEA2595426	ERR946980/ERR946980_1.fastq.gz	ERR946980/ERR946980_2.fastq.gz
SAMEA2595426	ERR947005/ERR947005_1.fastq.gz	ERR947005/ERR947005_2.fastq.gz
SAMEA2609965	ERR914278/ERR914278_1.fastq.gz	ERR914278/ERR914278_2.fastq.gz
SAMEA2609965	ERR914314/ERR914314_1.fastq.gz	ERR914314/ERR914314_2.fastq.gz
SAMEA2609968	ERR2039315/ERR2039315_1.fastq.gz	ERR2039315/ERR2039315_2.fastq.gz
SAMEA2609968	ERR2039325/ERR2039325_1.fastq.gz	ERR2039325/ERR2039325_2.fastq.gz
SAMEA2609971	ERR946979/ERR946979_1.fastq.gz	ERR946979/ERR946979_2.fastq.gz
SAMEA2609971	ERR947004/ERR947004_1.fastq.gz	ERR947004/ERR947004_2.fastq.gz
SAMEA2609972	ERR914282/ERR914282_1.fastq.gz	ERR914282/ERR914282_2.fastq.gz
SAMEA2609972	ERR914318/ERR914318_1.fastq.gz	ERR914318/ERR914318_2.fastq.gz
SAMEA2612471	ERR1629676/ERR1629676_1.fastq.gz	ERR1629676/ERR1629676_2.fastq.gz
SAMEA2612471	ERR1629686/ERR1629686_1.fastq.gz	ERR1629686/ERR1629686_2.fastq.gz
SAMEA2612483	ERR914299/ERR914299_1.fastq.gz	ERR914299/ERR914299_2.fastq.gz
SAMEA2612483	ERR914335/ERR914335_1.fastq.gz	ERR914335/ERR914335_2.fastq.gz
SAMEA2613897	ERR914291/ERR914291_1.fastq.gz	ERR914291/ERR914291_2.fastq.gz
SAMEA2613897	ERR914327/ERR914327_1.fastq.gz	ERR914327/ERR914327_2.fastq.gz
SAMEA2613912	ERR914285/ERR914285_1.fastq.gz	ERR914285/ERR914285_2.fastq.gz
SAMEA2613912	ERR914321/ERR914321_1.fastq.gz	ERR914321/ERR914321_2.fastq.gz
SAMEA2625589	ERR914301/ERR914301_1.fastq.gz	ERR914301/ERR914301_2.fastq.gz
SAMEA2625589	ERR914337/ERR914337_1.fastq.gz	ERR914337/ERR914337_2.fastq.gz
SAMEA2625592	ERR914292/ERR914292_1.fastq.gz	ERR914292/ERR914292_2.fastq.gz
SAMEA2625592	ERR914328/ERR914328_1.fastq.gz	ERR914328/ERR914328_2.fastq.gz
SAMEA2627141	ERR946977/ERR946977_1.fastq.gz	ERR946977/ERR946977_2.fastq.gz
SAMEA2627141	ERR947002/ERR947002_1.fastq.gz	ERR947002/ERR947002_2.fastq.gz
SAMEA2627566	ERR1274907/ERR1274907_1.fastq.gz	ERR1274907/ERR1274907_2.fastq.gz
SAMEA2627566	ERR1274915/ERR1274915_1.fastq.gz	ERR1274915/ERR1274915_2.fastq.gz
SAMEA2627567	ERR914279/ERR914279_1.fastq.gz	ERR914279/ERR914279_2.fastq.gz
SAMEA2627567	ERR914315/ERR914315_1.fastq.gz	ERR914315/ERR914315_2.fastq.gz
SAMEA2627569	ERR1203453/ERR1203453_1.fastq.gz	ERR1203453/ERR1203453_2.fastq.gz
SAMEA2627569	ERR1243456/ERR1243456_1.fastq.gz	ERR1243456/ERR1243456_2.fastq.gz
SAMEA2627571	ERR1203467/ERR1203467_1.fastq.gz	ERR1203467/ERR1203467_2.fastq.gz
SAMEA2627571	ERR1243470/ERR1243470_1.fastq.gz	ERR1243470/ERR1243470_2.fastq.gz
SAMEA2627577	ERR914303/ERR914303_1.fastq.gz	ERR914303/ERR914303_2.fastq.gz
SAMEA2627577	ERR914339/ERR914339_1.fastq.gz	ERR914339/ERR914339_2.fastq.gz
SAMEA2627578	ERR914312/ERR914312_1.fastq.gz	ERR914312/ERR914312_2.fastq.gz
SAMEA2627578	ERR914348/ERR914348_1.fastq.gz	ERR914348/ERR914348_2.fastq.gz
SAMEA2632921	ERR1203469/ERR1203469_1.fastq.gz	ERR1203469/ERR1203469_2.fastq.gz
SAMEA2632921	ERR1243472/ERR1243472_1.fastq.gz	ERR1243472/ERR1243472_2.fastq.gz
SAMEA2645805	ERR1203455/ERR1203455_1.fastq.gz	ERR1203455/ERR1203455_2.fastq.gz
SAMEA2645805	ERR1243458/ERR1243458_1.fastq.gz	ERR1243458/ERR1243458_2.fastq.gz
SAMEA2645809	ERR1203460/ERR1203460_1.fastq.gz	ERR1203460/ERR1203460_2.fastq.gz
SAMEA2645809	ERR1243463/ERR1243463_1.fastq.gz	ERR1243463/ERR1243463_2.fastq.gz
SAMEA2645811	ERR946974/ERR946974_1.fastq.gz	ERR946974/ERR946974_2.fastq.gz
SAMEA2645811	ERR946999/ERR946999_1.fastq.gz	ERR946999/ERR946999_2.fastq.gz
SAMEA2645814	ERR914286/ERR914286_1.fastq.gz	ERR914286/ERR914286_2.fastq.gz
SAMEA2645814	ERR914322/ERR914322_1.fastq.gz	ERR914322/ERR914322_2.fastq.gz
SAMEA2649534	ERR1203470/ERR1203470_1.fastq.gz	ERR1203470/ERR1203470_2.fastq.gz
SAMEA2649534	ERR1243473/ERR1243473_1.fastq.gz	ERR1243473/ERR1243473_2.fastq.gz
SAMEA2658084	ERR914305/ERR914305_1.fastq.gz	ERR914305/ERR914305_2.fastq.gz
SAMEA2658084	ERR914341/ERR914341_1.fastq.gz	ERR914341/ERR914341_2.fastq.gz
SAMEA2658090	ERR1203458/ERR1203458_1.fastq.gz	ERR1203458/ERR1203458_2.fastq.gz
SAMEA2658090	ERR1243461/ERR1243461_1.fastq.gz	ERR1243461/ERR1243461_2.fastq.gz
