[Header]
INVESTIGATOR NAME,BeadStudio User
PROJECT NAME,HipSci_proj
EXPERIMENT NAME,HipSci_proj
DATE,10/7/2018 1:19:05 PM
[Manifests]
A,HumanCoreExome-12-v1-1-C
[Data]
Sample_ID,SentrixBarcode_A,SentrixPosition_A,Path,Aux
HPSI0513i-euir_3,9465547104,R03C02,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0513i-fejf_1,9465547069,R04C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0513i-fejf_2,9465547069,R05C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0513i-fejf_3,9465547069,R06C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0513i-giuf_1,9465608095,R05C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0513i-giuf_2,9465608095,R02C02,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0513i-giuf_3,9465608095,R06C02,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0513i-golb_1,9426369048,R01C02,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0513i-golb_2,9426369048,R02C02,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0513i-golb_3,9426369048,R06C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0513i-huls_1,9439653109,R05C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0513i-huls_2,9439653109,R06C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0513i-huls_3,9439653109,R01C02,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0513i-iasn_1,9426369063,R03C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0513i-iasn_2,9426369063,R02C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0513i-iasn_3,9426369063,R01C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0513i-kesz_1,9426369063,R01C02,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0513i-kesz_2,9426369063,R02C02,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0513i-kesz_3,9426369063,R03C02,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0513i-leeh_1,9465547068,R03C02,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0513i-leeh_2,9465547068,R04C02,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0513i-leeh_3,9465547068,R05C02,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0513i-momt_2,9970495123,R04C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0513i-momt_3,9970495123,R05C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0513i-netf_1,9969483100,R04C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0513i-netf_2,9969483100,R05C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0513i-netf_3,9969483100,R06C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0513i-oarz_1,9465547102,R01C02,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0513i-oarz_2,9465547102,R06C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0513i-oarz_22,9465547102,R04C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0513i-oarz_3,9465547102,R05C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0513i-oeoo_1,9426369063,R04C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0513i-oeoo_2,9426369063,R06C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0513i-oeoo_3,9426369063,R05C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0513i-oibg_1,9741778087,R01C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0513i-oibg_2,9741778087,R02C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0513i-oibg_3,9741778087,R03C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0513i-oogu_1,9439653109,R03C02,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0513i-oogu_2,9439653109,R04C02,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0513i-oogu_3,9439653109,R05C02,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0513i-pedc_1,9970498043,R03C02,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0513i-sucd_1,9439653158,R03C02,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0513i-sucd_2,9439653158,R04C02,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0513i-sucd_3,9439653158,R05C02,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0513i-suzg_1,9439653064,R06C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0513i-suzg_2,9439653064,R02C02,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0513i-suzg_3,9465547162,R01C02,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0513i-uilw_1,9439653158,R01C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0513i-uilw_2,9439653158,R02C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0513i-uilw_3,9439653158,R03C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0513i-uoxz_4,9465555131,R03C02,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0513i-uoxz_5,9465555131,R05C02,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0513i-uoxz_6,9465555131,R06C02,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0513i-veqz_4,9465555087,R03C02,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0513i-veqz_5,9465555087,R04C02,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0513i-veqz_6,9465555087,R05C02,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0513i-veve_1,9426368035,R05C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0513i-veve_2,9426368035,R03C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0513i-veve_3,9426368035,R04C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0513i-xegx_1,9465608027,R06C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0513i-xegx_2,9465608027,R01C02,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0513i-xegx_3,9465608027,R02C02,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0513i-zaui_1,9741952122,R01C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0513i-zaui_2,9741952122,R02C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0513i-zaui_3,9741952122,R03C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0513pf-aipt,9465604059,R03C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0513pf-bicb,9465547162,R06C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0513pf-cehw,9465555071,R01C02,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0513pf-coio,9465547162,R04C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0513pf-cuau,9466853019,R03C02,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0513pf-debk,9465608032,R05C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0513pf-dipe,9439653109,R04C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0513pf-dovq,9741953050,R05C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0513pf-dulv,9465604059,R04C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0513pf-euir,9465547104,R06C02,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0513pf-fejf,9465547069,R03C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0513pf-giuf,9465608095,R06C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0513pf-golb,9426369048,R03C02,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0513pf-huls,9439653109,R02C02,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0513pf-iasn,9426369063,R05C02,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0513pf-kesz,9426369063,R04C02,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0513pf-leeh,9465547068,R06C02,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0513pf-momt,9970495123,R03C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0513pf-netf,9969483145,R06C02,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0513pf-oarz,9465547102,R02C02,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0513pf-oeoo,9426369063,R06C02,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0513pf-oibg,9741778087,R06C02,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0513pf-oogu,9465608032,R01C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0513pf-pedc,9970498043,R02C02,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0513pf-sucd,9439653158,R06C02,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0513pf-suzg,9465547162,R02C02,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0513pf-uilw,9439653158,R04C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0513pf-uoxz,9465555131,R04C02,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0513pf-veqz,9465555087,R06C02,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0513pf-veve,9426368035,R03C02,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0513pf-xegx,9465608027,R05C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0513pf-zaui,9741952122,R04C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0613i-aevs_1,9741953046,R01C02,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0613i-aevs_2,9741953046,R05C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0613i-aevs_3,9741953046,R02C02,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0613i-auim_1,9426369103,R01C02,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0613i-auim_2,9426369103,R02C02,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0613i-auim_3,9426369103,R03C02,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0613i-bawa_1,9969483090,R04C02,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0613i-bawa_2,9969483090,R03C02,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0613i-bawa_3,9969483090,R02C02,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0613i-bohf_1,9878599118,R02C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0613i-bohf_2,9878599124,R06C02,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0613i-dium_1,9439653064,R06C02,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0613i-dium_2,9439653064,R03C02,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0613i-dium_3,9439653037,R06C02,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0613i-eojr_1,9465555086,R02C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0613i-eojr_2,9465555086,R06C02,\\VBOXSVR\GenomeStudio\HipSci\idat,0
