Study	BioSampleID	GenotypeID	Comment
HipSci	SAMEA2398319	HPSI0713i-cicb_2	excluded to avoid cell_line from same donor
HipSci	SAMEA2469777	HPSI0613i-riiv_1	excluded to avoid cell_line from same donor
HipSci	SAMEA2398252	HPSI0613i-febc_1	excluded to avoid cell_line from same donor
HipSci	SAMEA2399146	HPSI0513i-debk_9	excluded to avoid cell_line from same donor
HipSci	SAMEA2398350	HPSI0513i-uoxz_4	excluded to avoid cell_line from same donor
HipSci	SAMEA2399151	HPSI0613i-eojr_2	excluded to avoid cell_line from same donor
HipSci	SAMEA2398446	HPSI0613i-lizq_1	excluded to avoid cell_line from same donor
HipSci	SAMEA2398478	HPSI0613i-funp_2	excluded to avoid cell_line from same donor
HipSci	SAMEA2399199	HPSI0413i-nudd_1	excluded to avoid cell_line from same donor
HipSci	SAMEA2398900	HPSI0813i-iicq_3	excluded to avoid cell_line from same donor
HipSci	SAMEA2398925	HPSI0513i-dulv_1	excluded to avoid cell_line from same donor
HipSci	SAMEA2399165	HPSI0413i-yotv_2	excluded to avoid cell_line from same donor
HipSci	SAMEA2398125	HPSI0713i-dard_1	excluded to avoid cell_line from same donor
HipSci	SAMEA2399032	HPSI1113i-zuta_3	excluded to avoid cell_line from same donor
HipSci	SAMEA2397851	HPSI0713i-terl_1	excluded to avoid cell_line from same donor
HipSci	SAMEA2420639	HPSI0813i-aizi_3	excluded to avoid cell_line from same donor
HipSci	SAMEA2398233	HPSI0613i-hikj_2	excluded to avoid cell_line from same donor
HipSci	SAMEA2398322	HPSI0613i-ueah_4	excluded to avoid cell_line from same donor
HipSci	SAMEA2399463	HPSI1013i-jufd_2	excluded to avoid cell_line from same donor
HipSci	SAMEA2627571	HPSI0314i-sojd_2	excluded to avoid cell_line from same donor
HipSci	SAMEA3355550	HPSI0814i-bokz_6	excluded to avoid cell_line from same donor
HipSci	SAMEA3316296	HPSI0514i-wiii_3	excluded to avoid cell_line from same donor
HipSci	SAMEA3448741	HPSI0814i-doao_2	excluded to avoid cell_line from same donor
HipSci	SAMEA3466481	HPSI0714i-burb_3	excluded to avoid cell_line from same donor
HipSci	SAMEA3460677	HPSI0214i-giju_3	excluded to avoid cell_line from same donor
HipSci	SAMEA3485957	HPSI0614i-uilk_3	excluded to avoid cell_line from same donor
HipSci	SAMEA3964246	HPSI0714i-pipw_5	excluded to avoid cell_line from same donor
HipSci	SAMEA3754201	HPSI0115i-melw_2	excluded to avoid cell_line from same donor
HipSci	SAMEA3483999	HPSI0614i-ciwj_2	excluded to avoid cell_line from same donor
HipSci	SAMEA3847036	HPSI0215i-deyz_3	excluded to avoid cell_line from same donor
HipSci	SAMEA3853137	HPSI0714i-jilk_4	excluded to avoid cell_line from same donor
HipSci	SAMEA3970239	HPSI0514i-lako_2	excluded to avoid cell_line from same donor
HipSci	SAMEA3974236	HPSI0614i-liqa_6	excluded to avoid cell_line from same donor
HipSci	SAMEA3969693	HPSI0514i-kuco_5	excluded to avoid cell_line from same donor
HipSci	SAMEA3968755	HPSI0914i-qehq_7	excluded to avoid cell_line from same donor
HipSci	SAMEA3853119	HPSI1014i-tuju_4	excluded to avoid cell_line from same donor
HipSci	SAMEA3962529	HPSI0914i-jejf_3	excluded to avoid cell_line from same donor
HipSci	SAMEA3962524	HPSI0414i-sebn_4	excluded to avoid cell_line from same donor
HipSci	SAMEA3474016	HPSI0414i-ceik_2	excluded to avoid cell_line from same donor
HipSci	SAMEA3374092	HPSI1014i-bilx_2	excluded to avoid cell_line from same donor
HipSci	SAMEA3469236	HPSI0514i-fiaj_3	excluded to avoid cell_line from same donor
HipSci	SAMEA3483996	HPSI0215i-hipn_2	excluded to avoid cell_line from same donor
HipSci	SAMEA3754916	HPSI0215i-fawm_4	excluded to avoid cell_line from same donor
HipSci	SAMEA3851966	HPSI0714i-iudw_4	excluded to avoid cell_line from same donor
HipSci	SAMEA3853161	HPSI0914i-laey_6	excluded to avoid cell_line from same donor
HipSci	SAMEA3962387	HPSI0614i-miaj_6	excluded to avoid cell_line from same donor
