sex	sample_id	Y_chrom_mean	ENSG00000229807
female	UCB1180	0.07570117908866521	156.52870303591948
male	UCB1181	15.72418267112092	0.26292592938248593
male	UCB1182	16.72440505526714	0.4259242496535561
female	UCB1183	0.013109062194195158	82.79311127501794
female	UCB1184	0.057095971518049286	92.82295421041968
male	UCB1185	16.612422794159826	0.13322271365582103
male	UCB1186	16.328058134044728	0.10309611651298839
male	UCB1187	16.990026500357555	0.11961472477610484
male	UCB1188	17.762779718466746	0.17051160903490747
male	UCB1189	16.37325681201306	0.1405555961451105
male	UCB1190	15.91236164985004	0.10747875069416997
female	UCB1191	0.046737230751060524	157.79775696419554
male	UCB1192	17.723335419871464	0.3452718887918631
female	UCB1193	8.74608264179526	82.63596167773095
female	UCB1194	0.00885770420506577	146.84718981687593
female	UCB1195	0.03172420882729613	164.04025035298804
female	UCB1196	0.055134122648457635	150.01533369627592
female	UCB1198	0.012913884534024209	153.68163905102125
female	UCB1199	0.026243862230734775	158.8513917040516
male	UCB1200	17.87784606085546	0.12966637969394995
male	UCB1201	17.689979175910143	0.09017620857620427
male	UCB1203	18.846276834994875	0.1874864878716927
male	UCB1205	16.072846237068386	0.031210825754261352
male	UCB1206	18.59656184838951	0
female	UCB1207	0.07739441228992303	160.2851376142115
male	UCB1208	18.171490646751884	0.10851862987720691
male	UCB1210	17.50657454699439	0.14381382056491798
female	UCB1211	0.04111151387843825	148.0103484391632
male	UCB1212	17.43820101549167	0.14853847296725553
female	UCB1215	0.018134436085022285	181.8537254248424
female	UCB1216	0.0301934373977375	135.6977765938205
female	UCB1217	0.0398666199480453	130.49874765273833
male	UCB1218	15.625848648280742	0.36082925209076877
male	UCB122	15.95044449821476	0.04049161451767345
female	UCB124	0.0022714239246664175	52.68251664221935
female	UCB125	0.007173218156978697	39.99684743701775
female	UCB130	0	20.04258960872561
female	UCB137	0.0014083414709451794	45.75881292548187
male	UCB139	18.24532825139322	0
male	UCB141	22.424496528878105	0.10153639811841533
male	UCB144	15.775296050001376	0
female	UCB152	0.0014602657003994666	57.75034555007807
female	UCB164	0	30.169502180849836
female	UCB167	0	39.37784594927828
female	UCB169	0.00787379576636612	36.67102099035948
female	UCB177	0	26.263817260437577
female	UCB181	0.0010711747189144144	55.391094853215876
male	UCB183	19.468534785231682	0
female	UCB188	0.0012597125281662346	37.85001999709449
male	UCB223	14.04770422529372	0
male	UCB225	20.204320565367905	0
female	UCB226	0.014227426331822087	52.012991069744075
male	UCB227	14.786197544149807	0
male	UCB251	18.182023319123438	0
female	UCB253	0	143.61993926324968
male	UCB255	23.876894713033384	0
male	UCB277	19.509466733603194	0
female	UCB282	0	64.91858260953806
male	UCB285	20.796295789768124	0.017695444462271174
female	UCB304	0	98.86196587737831
female	UCF018	0.0033078226796443007	34.03007706130587
female	UCF025	0.02005556580827015	27.916577676136324
female	UCF034	0.012536595273235725	10.598269828320252
female	UCF042	0.00297198633866498	13.987574439697084
female	UCF048	0.02009581647931924	24.714032525823466
male	UCF049	13.588914610795655	0
male	UCF050	16.20361369837124	0.1140202465921454
male	UCF051	12.946830573962576	0
female	UCF060	0	14.338473301384406
male	UCF062	7.65241860016897	0
male	UCF078	13.02007011163627	0
female	UCF079	9.918076156261476e-4	29.379137203755985
female	UCF086	0.04125484252145757	27.21136562466565
female	UCF088	0	14.141590897801668
male	UCF093	10.469507899605823	0
female	UCF1001	0.052881992068875554	47.20108692005691
female	UCF1007	0.025916417984136807	11.230382876588473
female	UCF100	0.035387438708284764	34.981300757217305
female	UCF1010	0.011554742456552901	5.641575535885377
male	UCF1011	12.958611603466522	0.09713112882536455
male	UCF1012	9.572384656825026	0.16753508164688663
male	UCF1013	7.86156198476582	0
female	UCF1014	0.028259042608403975	5.560289938414691
female	UCF1016	0.0713808322594782	0.492792553293618
female	UCF1021	0.03980845190320931	3.9850579261372316
female	UCF1023	0.035435750044086146	11.358601876130377
male	UCF1024	13.230645666958898	0.22492128661493893
male	UCF1025	8.92448901920293	0.08003727170331941
female	UCF1027	0.012548808721246339	8.670312525358428
male	UCF1028	12.015579279413682	0.21499607641602372
male	UCF1029	11.722677401249989	0.2291355940974437
male	UCF1030	9.92258174352085	0.31089153089023785
male	UCF103	9.886374114676268	0
female	UCF1040	0.041297433416637254	42.41741557608713
female	UCF1045	0.05080943717058998	0.3462936959405074
male	UCF1046	11.751928458923494	0.04633872207315475
