sample_id	file_name	ega_file_name	cell_type	condition	read_length	paired	stranded	study	protocol	genotype_id	bam_name
UCB1137	UCB1137_120229_5_sorted.bam	EGAF00000187324	LCL	naive	50bp	TRUE	FALSE	GENCORD	poly(A)	UC1137	_EGAR00001105430_UCB1137_120229_5_sorted.bam
UCB1139	UCB1139_120202_7_sorted.bam	EGAF00000187325	LCL	naive	50bp	TRUE	FALSE	GENCORD	poly(A)	UC1139	_EGAR00001105431_UCB1139_120202_7_sorted.bam
UCB113	UC113L_110204_5_sorted.bam	EGAF00000187150	LCL	naive	50bp	TRUE	FALSE	GENCORD	poly(A)	UC113	_EGAR00001105256_UC113L_110204_5_sorted.bam
UCB1143	UCB1143_120229_8_sorted.bam	EGAF00000187326	LCL	naive	50bp	TRUE	FALSE	GENCORD	poly(A)	UC1143	_EGAR00001105432_UCB1143_120229_8_sorted.bam
UCB1146	UCB1146_120224_4_sorted.bam	EGAF00000187327	LCL	naive	50bp	TRUE	FALSE	GENCORD	poly(A)	UC1146	_EGAR00001105433_UCB1146_120224_4_sorted.bam
UCB1148	UCB1148_120202_5_sorted.bam	EGAF00000187328	LCL	naive	50bp	TRUE	FALSE	GENCORD	poly(A)	UC1148	_EGAR00001105434_UCB1148_120202_5_sorted.bam
UCB114	UC114L_110218_2_sorted.bam	EGAF00000187153	LCL	naive	50bp	TRUE	FALSE	GENCORD	poly(A)	UC114	_EGAR00001105259_UC114L_110218_2_sorted.bam
UCB1156	UCB1156_120315_7_sorted.bam	EGAF00000187329	LCL	naive	50bp	TRUE	FALSE	GENCORD	poly(A)	UC1156	_EGAR00001105435_UCB1156_120315_7_sorted.bam
UCB1159	UCB1159_120224_5_sorted.bam	EGAF00000187330	LCL	naive	50bp	TRUE	FALSE	GENCORD	poly(A)	UC1159	_EGAR00001105436_UCB1159_120224_5_sorted.bam
UCB115	UC115L_110221_8_sorted.bam	EGAF00000187156	LCL	naive	50bp	TRUE	FALSE	GENCORD	poly(A)	UC115	_EGAR00001105262_UC115L_110221_8_sorted.bam
UCB1160	UCB1160_120224_3_sorted.bam	EGAF00000187331	LCL	naive	50bp	TRUE	FALSE	GENCORD	poly(A)	UC1160	_EGAR00001105437_UCB1160_120224_3_sorted.bam
UCB1161	UCB1161_120315_6_sorted.bam	EGAF00000187332	LCL	naive	50bp	TRUE	FALSE	GENCORD	poly(A)	UC1161	_EGAR00001105438_UCB1161_120315_6_sorted.bam
UCB1163	UCB1163_120229_4_sorted.bam	EGAF00000187333	LCL	naive	50bp	TRUE	FALSE	GENCORD	poly(A)	UC1163	_EGAR00001105439_UCB1163_120229_4_sorted.bam
UCB1164	UCB1164_120202_6_sorted.bam	EGAF00000187334	LCL	naive	50bp	TRUE	FALSE	GENCORD	poly(A)	UC1164	_EGAR00001105440_UCB1164_120202_6_sorted.bam
UCB1167	UCB1167_120229_2_sorted.bam	EGAF00000187335	LCL	naive	50bp	TRUE	FALSE	GENCORD	poly(A)	UC1167	_EGAR00001105441_UCB1167_120229_2_sorted.bam
