sample_id	ega_id	fastq	ega_file
S007WCB2	EGAR00001295356	_EGAR00001295356_141212_SN546_0263_B_C5VKPACXX_ACTTGA_3_read1.fastq.gz	EGAF00000764942
S00D9YB2	EGAR00001295355	_EGAR00001295355_141212_SN546_0263_B_C5VKPACXX_TGACCA_3_read1.fastq.gz	EGAF00000764941
S00DKCB1	EGAR00001295350	_EGAR00001295350_141212_SN546_0263_B_C5VKPACXX_ACTGAT_6_read1.fastq.gz	EGAF00000764969
S00DP2B2	EGAR00001295343	_EGAR00001295343_141219_SN935_0000_A_C5VA5ACXX_CTTGTA_2_read1.fastq.gz	EGAF00000764736
S00F9QB6	EGAR00001295347	_EGAR00001295347_141212_SN546_0263_B_C5VKPACXX_GATCAG_8_read1.fastq.gz	EGAF00000764967
S00FK4B1	EGAR00001295338	_EGAR00001295338_141219_SN935_0000_A_C5VA5ACXX_GTCCGC_4_read1.fastq.gz	EGAF00000764965
S00FPVB3	EGAR00001295341	_EGAR00001295341_141219_SN935_0000_A_C5VA5ACXX_ACAGTG_3_read1.fastq.gz	EGAF00000764935
S00FULB1	EGAR00001295340	_EGAR00001295340_141219_SN935_0000_A_C5VA5ACXX_GTGAAA_3_read1.fastq.gz	EGAF00000764707
S00FVJB1	EGAR00001295344	_EGAR00001295344_141219_SN935_0000_A_C5VA5ACXX_TGACCA_1_read1.fastq.gz	EGAF00000764966
S00G5UB1	EGAR00001281515	_EGAR00001281515_141204_SN935_0218_A_C5VAPACXX_GTCCGC_8_read1.fastq.gz	EGAF00000709948
S00G7QB2	EGAR00001272555	_EGAR00001272555_141127_SN106_0108_A_C5VN1ACXX_GTTTCG_3_read1.fastq.gz	EGAF00000697696
S00G9MB1	EGAR00001295351	_EGAR00001295351_141212_SN546_0263_B_C5VKPACXX_GTGAAA_5_read1.fastq.gz	EGAF00000764970
S00GBIB1	EGAR00001281518	_EGAR00001281518_141204_SN935_0218_A_C5VAPACXX_ACAGTG_7_read1.fastq.gz	EGAF00000710345
S00GECB1	EGAR00001295349	_EGAR00001295349_141212_SN546_0263_B_C5VKPACXX_GTCCGC_6_read1.fastq.gz	EGAF00000764968
S00GSLB1	EGAR00001281516	_EGAR00001281516_141204_SN935_0218_A_C5VAPACXX_ACTGAT_8_read1.fastq.gz	EGAF00000710033
S00GWDB2	EGAR00001295345	_EGAR00001295345_141219_SN935_0000_A_C5VA5ACXX_ACTTGA_1_read1.fastq.gz	EGAF00000764936
S00H5QB1	EGAR00001281517	_EGAR00001281517_141204_SN935_0218_A_C5VAPACXX_GTGAAA_7_read1.fastq.gz	EGAF00000710475
S00HE8B1	EGAR00001295360	_EGAR00001295360_141212_SN546_0263_B_C5VKPACXX_ATCACG_1_read1.fastq.gz	EGAF00000764954
S00HVBB1	EGAR00001295352	_EGAR00001295352_141212_SN546_0263_B_C5VKPACXX_ACAGTG_5_read1.fastq.gz	EGAF00000764971
S00J5IB2	EGAR00001295354	_EGAR00001295354_141212_SN546_0263_B_C5VKPACXX_CTTGTA_4_read1.fastq.gz	EGAF00000764940
S00J9AB1	EGAR00001320092	_EGAR00001320092_150402_SN935_0014_B_C700DACXX_GCCAAT_6_read1.fastq.gz	EGAF00000792039
S00JA8B1	EGAR00001295339	_EGAR00001295339_141219_SN935_0000_A_C5VA5ACXX_ACTGAT_4_read1.fastq.gz	EGAF00000764706
S00JD2B1	EGAR00001272550	_EGAR00001272550_141127_SN106_0108_A_C5VN1ACXX_ACTGAT_6_read1.fastq.gz	EGAF00000697668
S00JT7B2	EGAR00001272553	_EGAR00001272553_141127_SN106_0108_A_C5VN1ACXX_GCCAAT_4_read1.fastq.gz	EGAF00000697694
S00JU5B2	EGAR00001272552	_EGAR00001272552_141127_SN106_0108_A_C5VN1ACXX_ACAGTG_5_read1.fastq.gz	EGAF00000697693
S00JV3B2	EGAR00001272551	_EGAR00001272551_141127_SN106_0108_A_C5VN1ACXX_GTGAAA_5_read1.fastq.gz	EGAF00000697692
S00JYYB3	EGAR00001272547	_EGAR00001272547_141127_SN106_0108_A_C5VN1ACXX_GAGTGG_7_read1.fastq.gz	EGAF00000697665
S00K0OB2	EGAR00001295342	_EGAR00001295342_141219_SN935_0000_A_C5VA5ACXX_GCCAAT_2_read1.fastq.gz	EGAF00000764708
S00K4GB3	EGAR00001281530	_EGAR00001281530_141204_SN935_0218_A_C5VAPACXX_CTTGTA_1_read1.fastq.gz	EGAF00000710063
S00KEXB4	EGAR00001320083	_EGAR00001320083_150402_SN935_0014_B_C700DACXX_GTCCGC_8_read1.fastq.gz	EGAF00000792034
S00KFVB4	EGAR00001281528	_EGAR00001281528_141204_SN935_0218_A_C5VAPACXX_ACAGTG_2_read1.fastq.gz	EGAF00000710035
S00KHRB2	EGAR00001281525	_EGAR00001281525_141204_SN935_0218_A_C5VAPACXX_GTCCGC_3_read1.fastq.gz	EGAF00000710346
S00KKLB2	EGAR00001281526	_EGAR00001281526_141204_SN935_0218_A_C5VAPACXX_ACTGAT_3_read1.fastq.gz	EGAF00000709906
S00M0GB2	EGAR00001295357	_EGAR00001295357_141212_SN546_0263_B_C5VKPACXX_TTAGGC_2_read1.fastq.gz	EGAF00000764972
S00M1EB2	EGAR00001295358	_EGAR00001295358_141212_SN546_0263_B_C5VKPACXX_GATCAG_2_read1.fastq.gz	EGAF00000764952
S00M2CB2	EGAR00001281519	_EGAR00001281519_141204_SN935_0218_A_C5VAPACXX_GCCAAT_6_read1.fastq.gz	EGAF00000710476
S00M48B2	EGAR00001281522	_EGAR00001281522_141204_SN935_0218_A_C5VAPACXX_GATCAG_5_read1.fastq.gz	EGAF00000710477
S00M80B2	EGAR00001272546	_EGAR00001272546_141127_SN106_0108_A_C5VN1ACXX_GATCAG_8_read1.fastq.gz	EGAF00000697664
S00MBVB1	EGAR00001272545	_EGAR00001272545_141127_SN106_0108_A_C5VN1ACXX_TTAGGC_8_read1.fastq.gz	EGAF00000697663
S00N52B1	EGAR00001295359	_EGAR00001295359_141212_SN546_0263_B_C5VKPACXX_GAGTGG_1_read1.fastq.gz	EGAF00000764953
S00N7ZB1	EGAR00001281524	_EGAR00001281524_141204_SN935_0218_A_C5VAPACXX_ATCACG_4_read1.fastq.gz	EGAF00000710034
S00NBRB2	EGAR00001281527	_EGAR00001281527_141204_SN935_0218_A_C5VAPACXX_GTGAAA_2_read1.fastq.gz	EGAF00000710456
S00NHFB1	EGAR00001281529	_EGAR00001281529_141204_SN935_0218_A_C5VAPACXX_GCCAAT_1_read1.fastq.gz	EGAF00000710478
S00NQYB4	EGAR00001272549	_EGAR00001272549_141127_SN106_0108_A_C5VN1ACXX_GTCCGC_6_read1.fastq.gz	EGAF00000697667
S00NRWB1	EGAR00001272554	_EGAR00001272554_141127_SN106_0108_A_C5VN1ACXX_CTTGTA_4_read1.fastq.gz	EGAF00000697695
S00NUQB2	EGAR00001281523	_EGAR00001281523_141204_SN935_0218_A_C5VAPACXX_GAGTGG_4_read1.fastq.gz	EGAF00000709905
S00NVOB1	EGAR00001272548	_EGAR00001272548_141127_SN106_0108_A_C5VN1ACXX_ATCACG_7_read1.fastq.gz	EGAF00000697666
S00NWMB1	EGAR00001281521	_EGAR00001281521_141204_SN935_0218_A_C5VAPACXX_TTAGGC_5_read1.fastq.gz	EGAF00000709904
S00NXKB1	EGAR00001281520	_EGAR00001281520_141204_SN935_0218_A_C5VAPACXX_CTTGTA_6_read1.fastq.gz	EGAF00000709949
S00P04B1	EGAR00001320099	_EGAR00001320099_150402_SN935_0014_B_C700DACXX_GCCAAT_3_read1.fastq.gz	EGAF00000792090
S00P20B2	EGAR00001299949	_EGAR00001299949_150203_SN546_0269_B_C69G5ACXX_GTGAAA_8_read1.fastq.gz	EGAF00000768227
S00P4XB2	EGAR00001299931	_EGAR00001299931_150205_SN935_0005_B_C69GUACXX_GTCCGC_1_read1.fastq.gz	EGAF00000768214
S00P8PB4	EGAR00001299964	_EGAR00001299964_150203_SN546_0269_B_C69G5ACXX_CTTGTA_1_read1.fastq.gz	EGAF00000769150
S00PBJB2	EGAR00001299942	_EGAR00001299942_150205_SN935_0004_A_C69EVACXX_ACAGTG_4_read1.fastq.gz	EGAF00000768304
S00PCHB1	EGAR00001299952	_EGAR00001299952_150203_SN546_0269_B_C69G5ACXX_CTTGTA_7_read1.fastq.gz	EGAF00000769147
S00PDFB2	EGAR00001295274	_EGAR00001295274_150115_SN935_0003_B_C68W7ACXX_TTAGGC_4_read1.fastq.gz	EGAF00000764863
S00PEDB2	EGAR00001295279	_EGAR00001295279_150115_SN935_0003_B_C68W7ACXX_ACTGAT_2_read1.fastq.gz	EGAF00000764886
S00PK1B2	EGAR00001295266	_EGAR00001295266_150115_SN935_0003_B_C68W7ACXX_GAGTGG_8_read1.fastq.gz	EGAF00000764679
S00PQQB1	EGAR00001295285	_EGAR00001295285_150113_SN546_0267_B_C68YMACXX_ACTTGA_7_read1.fastq.gz	EGAF00000764684
