sample_id	genotype_id	fq1	fq2	sex	biosample_id	population_code	population_name	superpopulation_code	superpopulation_name
ERR188339	NA12815	ERR188339_1.fastq.gz	ERR188339_2.fastq.gz	female	SAME123022	CEU	CEPH	EUR	European
ERR188340	HG00353	ERR188340_1.fastq.gz	ERR188340_2.fastq.gz	female	SAME125120	FIN	Finnish	EUR	European
ERR188341	HG00328	ERR188341_1.fastq.gz	ERR188341_2.fastq.gz	female	SAME123799	FIN	Finnish	EUR	European
ERR188342	HG00111	ERR188342_1.fastq.gz	ERR188342_2.fastq.gz	female	SAME125340	GBR	British	EUR	European
ERR188343	NA20589	ERR188343_1.fastq.gz	ERR188343_2.fastq.gz	female	SAME122865	TSI	Tuscan	EUR	European
ERR188344	NA18868	ERR188344_1.fastq.gz	ERR188344_2.fastq.gz	male	SAME124910	YRI	Yoruba	AFR	African
ERR188345	NA20771	ERR188345_1.fastq.gz	ERR188345_2.fastq.gz	female	SAME124577	TSI	Tuscan	EUR	European
ERR188346	HG00312	ERR188346_1.fastq.gz	ERR188346_2.fastq.gz	male	SAME124336	FIN	Finnish	EUR	European
ERR188347	NA20525	ERR188347_1.fastq.gz	ERR188347_2.fastq.gz	male	SAME124015	TSI	Tuscan	EUR	European
ERR188348	NA11995	ERR188348_1.fastq.gz	ERR188348_2.fastq.gz	female	SAME123968	CEU	CEPH	EUR	European
ERR188349	NA12842	ERR188349_1.fastq.gz	ERR188349_2.fastq.gz	male	SAME123542	CEU	CEPH	EUR	European
ERR188350	NA12399	ERR188350_1.fastq.gz	ERR188350_2.fastq.gz	male	SAME124193	CEU	CEPH	EUR	European
ERR188351	HG00253	ERR188351_1.fastq.gz	ERR188351_2.fastq.gz	female	SAME123051	GBR	British	EUR	European
ERR188352	NA18909	ERR188352_1.fastq.gz	ERR188352_2.fastq.gz	female	SAME123561	YRI	Yoruba	AFR	African
ERR188353	NA20586	ERR188353_1.fastq.gz	ERR188353_2.fastq.gz	male	SAME122864	TSI	Tuscan	EUR	European
ERR188354	NA12775	ERR188354_1.fastq.gz	ERR188354_2.fastq.gz	male	SAME124257	CEU	CEPH	EUR	European
ERR188355	HG00267	ERR188355_1.fastq.gz	ERR188355_2.fastq.gz	male	SAME123577	FIN	Finnish	EUR	European
ERR188356	NA20514	ERR188356_1.fastq.gz	ERR188356_2.fastq.gz	female	SAME124558	TSI	Tuscan	EUR	European
ERR188357	NA20517	ERR188357_1.fastq.gz	ERR188357_2.fastq.gz	female	SAME124557	TSI	Tuscan	EUR	European
ERR188358	HG00367	ERR188358_1.fastq.gz	ERR188358_2.fastq.gz	female	SAME124540	FIN	Finnish	EUR	European
ERR188359	NA20537	ERR188359_1.fastq.gz	ERR188359_2.fastq.gz	male	SAME124168	TSI	Tuscan	EUR	European
ERR188360	NA20787	ERR188360_1.fastq.gz	ERR188360_2.fastq.gz	male	SAME123609	TSI	Tuscan	EUR	European
ERR188361	HG00189	ERR188361_1.fastq.gz	ERR188361_2.fastq.gz	male	SAME123640	FIN	Finnish	EUR	European
ERR188362	HG00371	ERR188362_1.fastq.gz	ERR188362_2.fastq.gz	male	SAME124747	FIN	Finnish	EUR	European
ERR188363	NA19206	ERR188363_1.fastq.gz	ERR188363_2.fastq.gz	female	SAME122983	YRI	Yoruba	AFR	African
ERR188364	NA19248	ERR188364_1.fastq.gz	ERR188364_2.fastq.gz	male	SAME123681	YRI	Yoruba	AFR	African
ERR188365	NA19117	ERR188365_1.fastq.gz	ERR188365_2.fastq.gz	male	SAME124914	YRI	Yoruba	AFR	African
ERR188366	HG00264	ERR188366_1.fastq.gz	ERR188366_2.fastq.gz	male	SAME123578	GBR	British	EUR	European
ERR188367	NA19102	ERR188367_1.fastq.gz	ERR188367_2.fastq.gz	female	SAME125112	YRI	Yoruba	AFR	African
ERR188368	HG00105	ERR188368_1.fastq.gz	ERR188368_2.fastq.gz	male	SAME123949	GBR	British	EUR	European
ERR188369	NA20512	ERR188369_1.fastq.gz	ERR188369_2.fastq.gz	male	SAME124560	TSI	Tuscan	EUR	European
ERR188370	HG00240	ERR188370_1.fastq.gz	ERR188370_2.fastq.gz	female	SAME123221	GBR	British	EUR	European
ERR188371	NA11920	ERR188371_1.fastq.gz	ERR188371_2.fastq.gz	female	SAME124901	CEU	CEPH	EUR	European
ERR188372	NA20807	ERR188372_1.fastq.gz	ERR188372_2.fastq.gz	female	SAME125363	TSI	Tuscan	EUR	European
ERR188373	NA18870	ERR188373_1.fastq.gz	ERR188373_2.fastq.gz	female	SAME125101	YRI	Yoruba	AFR	African
ERR188374	HG00360	ERR188374_1.fastq.gz	ERR188374_2.fastq.gz	male	SAME124539	FIN	Finnish	EUR	European
ERR188375	NA18858	ERR188375_1.fastq.gz	ERR188375_2.fastq.gz	female	SAME124730	YRI	Yoruba	AFR	African
ERR188376	NA07037	ERR188376_1.fastq.gz	ERR188376_2.fastq.gz	female	SAME122862	CEU	CEPH	EUR	European
ERR188377	NA12045	ERR188377_1.fastq.gz	ERR188377_2.fastq.gz	male	SAME123211	CEU	CEPH	EUR	European
ERR188378	HG00259	ERR188378_1.fastq.gz	ERR188378_2.fastq.gz	female	SAME123056	GBR	British	EUR	European
ERR188379	HG00148	ERR188379_1.fastq.gz	ERR188379_2.fastq.gz	male	SAME124388	GBR	British	EUR	European
ERR188380	NA20502	ERR188380_1.fastq.gz	ERR188380_2.fastq.gz	female	SAME124358	TSI	Tuscan	EUR	European
ERR188381	NA20769	ERR188381_1.fastq.gz	ERR188381_2.fastq.gz	female	SAME124371	TSI	Tuscan	EUR	European
ERR188382	NA20536	ERR188382_1.fastq.gz	ERR188382_2.fastq.gz	male	SAME124167	TSI	Tuscan	EUR	European
ERR188383	HG00136	ERR188383_1.fastq.gz	ERR188383_2.fastq.gz	male	SAME123065	GBR	British	EUR	European
ERR188384	NA20795	ERR188384_1.fastq.gz	ERR188384_2.fastq.gz	female	SAME123818	TSI	Tuscan	EUR	European
ERR188385	HG00138	ERR188385_1.fastq.gz	ERR188385_2.fastq.gz	male	SAME123059	GBR	British	EUR	European
ERR188386	NA20521	ERR188386_1.fastq.gz	ERR188386_2.fastq.gz	male	SAME124018	TSI	Tuscan	EUR	European
ERR188387	HG00160	ERR188387_1.fastq.gz	ERR188387_2.fastq.gz	male	SAME124780	GBR	British	EUR	European
ERR188388	NA12341	ERR188388_1.fastq.gz	ERR188388_2.fastq.gz	female	SAME125158	CEU	CEPH	EUR	European
ERR188389	NA10851	ERR188389_1.fastq.gz	ERR188389_2.fastq.gz	male	SAME125317	CEU	CEPH	EUR	European
ERR188390	NA19235	ERR188390_1.fastq.gz	ERR188390_2.fastq.gz	female	SAME125002	YRI	Yoruba	AFR	African
ERR188391	HG01789	ERR188391_1.fastq.gz	ERR188391_2.fastq.gz	male	SAME124433	GBR	British	EUR	European
ERR188392	NA19210	ERR188392_1.fastq.gz	ERR188392_2.fastq.gz	male	SAME125383	YRI	Yoruba	AFR	African
ERR188393	NA20772	ERR188393_1.fastq.gz	ERR188393_2.fastq.gz	female	SAME124574	TSI	Tuscan	EUR	European
ERR188394	NA20813	ERR188394_1.fastq.gz	ERR188394_2.fastq.gz	female	SAME125189	TSI	Tuscan	EUR	European
ERR188395	HG00365	ERR188395_1.fastq.gz	ERR188395_2.fastq.gz	female	SAME124542	FIN	Finnish	EUR	European
ERR188396	NA12383	ERR188396_1.fastq.gz	ERR188396_2.fastq.gz	female	SAME124384	CEU	CEPH	EUR	European
ERR188397	HG00271	ERR188397_1.fastq.gz	ERR188397_2.fastq.gz	male	SAME123417	FIN	Finnish	EUR	European
ERR188398	NA20535	ERR188398_1.fastq.gz	ERR188398_2.fastq.gz	female	SAME124166	TSI	Tuscan	EUR	European
ERR188399	NA20531	ERR188399_1.fastq.gz	ERR188399_2.fastq.gz	female	SAME124170	TSI	Tuscan	EUR	European
ERR188400	HG00188	ERR188400_1.fastq.gz	ERR188400_2.fastq.gz	male	SAME123641	FIN	Finnish	EUR	European
ERR188401	HG00141	ERR188401_1.fastq.gz	ERR188401_2.fastq.gz	male	SAME124395	GBR	British	EUR	European
ERR188402	NA20581	ERR188402_1.fastq.gz	ERR188402_2.fastq.gz	male	SAME122859	TSI	Tuscan	EUR	European
ERR188403	HG00131	ERR188403_1.fastq.gz	ERR188403_2.fastq.gz	male	SAME123064	GBR	British	EUR	European
ERR188404	NA12750	ERR188404_1.fastq.gz	ERR188404_2.fastq.gz	male	SAME124646	CEU	CEPH	EUR	European
ERR188405	NA20799	ERR188405_1.fastq.gz	ERR188405_2.fastq.gz	female	SAME123822	TSI	Tuscan	EUR	European
ERR188406	NA20828	ERR188406_1.fastq.gz	ERR188406_2.fastq.gz	female	SAME123076	TSI	Tuscan	EUR	European
ERR188407	HG01790	ERR188407_1.fastq.gz	ERR188407_2.fastq.gz	female	SAME124222	GBR	British	EUR	European
ERR188408	NA20810	ERR188408_1.fastq.gz	ERR188408_2.fastq.gz	male	SAME125192	TSI	Tuscan	EUR	European
ERR188409	NA18923	ERR188409_1.fastq.gz	ERR188409_2.fastq.gz	male	SAME123205	YRI	Yoruba	AFR	African
ERR188410	NA12156	ERR188410_1.fastq.gz	ERR188410_2.fastq.gz	female	SAME124952	CEU	CEPH	EUR	European
ERR188411	HG00243	ERR188411_1.fastq.gz	ERR188411_2.fastq.gz	male	SAME123224	GBR	British	EUR	European
ERR188412	HG00129	ERR188412_1.fastq.gz	ERR188412_2.fastq.gz	male	SAME122867	GBR	British	EUR	European
ERR188413	NA12890	ERR188413_1.fastq.gz	ERR188413_2.fastq.gz	female	SAME124116	CEU	CEPH	EUR	European
ERR188414	NA12043	ERR188414_1.fastq.gz	ERR188414_2.fastq.gz	male	SAME123214	CEU	CEPH	EUR	European
ERR188415	NA12058	ERR188415_1.fastq.gz	ERR188415_2.fastq.gz	female	SAME123416	CEU	CEPH	EUR	European
ERR188416	HG00102	ERR188416_1.fastq.gz	ERR188416_2.fastq.gz	female	SAME123945	GBR	British	EUR	European
ERR188417	HG00327	ERR188417_1.fastq.gz	ERR188417_2.fastq.gz	female	SAME123791	FIN	Finnish	EUR	European
ERR188418	HG00326	ERR188418_1.fastq.gz	ERR188418_2.fastq.gz	female	SAME123792	FIN	Finnish	EUR	European
ERR188419	NA20800	ERR188419_1.fastq.gz	ERR188419_2.fastq.gz	female	SAME125364	TSI	Tuscan	EUR	European
ERR188420	NA12763	ERR188420_1.fastq.gz	ERR188420_2.fastq.gz	female	SAME123872	CEU	CEPH	EUR	European
ERR188421	NA19225	ERR188421_1.fastq.gz	ERR188421_2.fastq.gz	female	SAME125218	YRI	Yoruba	AFR	African
ERR188422	NA19172	ERR188422_1.fastq.gz	ERR188422_2.fastq.gz	female	SAME124420	YRI	Yoruba	AFR	African
ERR188423	NA19107	ERR188423_1.fastq.gz	ERR188423_2.fastq.gz	male	SAME123393	YRI	Yoruba	AFR	African
ERR188424	NA20819	ERR188424_1.fastq.gz	ERR188424_2.fastq.gz	female	SAME125183	TSI	Tuscan	EUR	European
ERR188425	HG00187	ERR188425_1.fastq.gz	ERR188425_2.fastq.gz	male	SAME123646	FIN	Finnish	EUR	European
ERR188426	NA11843	ERR188426_1.fastq.gz	ERR188426_2.fastq.gz	male	SAME125140	CEU	CEPH	EUR	European
ERR188427	NA19159	ERR188427_1.fastq.gz	ERR188427_2.fastq.gz	female	SAME124716	YRI	Yoruba	AFR	African
ERR188428	HG00099	ERR188428_1.fastq.gz	ERR188428_2.fastq.gz	female	SAME123271	GBR	British	EUR	European
ERR188429	NA12889	ERR188429_1.fastq.gz	ERR188429_2.fastq.gz	male	SAME123951	CEU	CEPH	EUR	European
ERR188430	HG00132	ERR188430_1.fastq.gz	ERR188430_2.fastq.gz	female	SAME123061	GBR	British	EUR	European
ERR188431	NA12273	ERR188431_1.fastq.gz	ERR188431_2.fastq.gz	female	SAME123256	CEU	CEPH	EUR	European
ERR188432	HG00309	ERR188432_1.fastq.gz	ERR188432_2.fastq.gz	female	SAME124160	FIN	Finnish	EUR	European
ERR188433	NA11829	ERR188433_1.fastq.gz	ERR188433_2.fastq.gz	male	SAME124761	CEU	CEPH	EUR	European
ERR188434	NA19209	ERR188434_1.fastq.gz	ERR188434_2.fastq.gz	female	SAME122994	YRI	Yoruba	AFR	African
ERR188435	NA11830	ERR188435_1.fastq.gz	ERR188435_2.fastq.gz	female	SAME124553	CEU	CEPH	EUR	European
ERR188436	NA20540	ERR188436_1.fastq.gz	ERR188436_2.fastq.gz	female	SAME125148	TSI	Tuscan	EUR	European
ERR188437	NA20803	ERR188437_1.fastq.gz	ERR188437_2.fastq.gz	male	SAME125367	TSI	Tuscan	EUR	European
ERR188438	NA12272	ERR188438_1.fastq.gz	ERR188438_2.fastq.gz	male	SAME123231	CEU	CEPH	EUR	European
ERR188439	HG00329	ERR188439_1.fastq.gz	ERR188439_2.fastq.gz	male	SAME123798	FIN	Finnish	EUR	European
ERR188440	NA19200	ERR188440_1.fastq.gz	ERR188440_2.fastq.gz	male	SAME122989	YRI	Yoruba	AFR	African
ERR188441	NA12348	ERR188441_1.fastq.gz	ERR188441_2.fastq.gz	female	SAME125163	CEU	CEPH	EUR	European
ERR188442	NA18910	ERR188442_1.fastq.gz	ERR188442_2.fastq.gz	male	SAME123402	YRI	Yoruba	AFR	African
ERR188443	HG00130	ERR188443_1.fastq.gz	ERR188443_2.fastq.gz	female	SAME123063	GBR	British	EUR	European
ERR188444	NA19129	ERR188444_1.fastq.gz	ERR188444_2.fastq.gz	female	SAME125021	YRI	Yoruba	AFR	African
ERR188445	HG00173	ERR188445_1.fastq.gz	ERR188445_2.fastq.gz	female	SAME124960	FIN	Finnish	EUR	European
ERR188446	NA12347	ERR188446_1.fastq.gz	ERR188446_2.fastq.gz	male	SAME125316	CEU	CEPH	EUR	European
ERR188447	NA18934	ERR188447_1.fastq.gz	ERR188447_2.fastq.gz	male	SAME123036	YRI	Yoruba	AFR	African
ERR188448	HG00244	ERR188448_1.fastq.gz	ERR188448_2.fastq.gz	male	SAME123217	GBR	British	EUR	European
ERR188449	NA18499	ERR188449_1.fastq.gz	ERR188449_2.fastq.gz	female	SAME124059	YRI	Yoruba	AFR	African
ERR188450	HG00235	ERR188450_1.fastq.gz	ERR188450_2.fastq.gz	female	SAME124122	GBR	British	EUR	European
ERR188451	NA19149	ERR188451_1.fastq.gz	ERR188451_2.fastq.gz	female	SAME124605	YRI	Yoruba	AFR	African
ERR188452	NA20515	ERR188452_1.fastq.gz	ERR188452_2.fastq.gz	male	SAME124559	TSI	Tuscan	EUR	European
ERR188453	NA20529	ERR188453_1.fastq.gz	ERR188453_2.fastq.gz	female	SAME124011	TSI	Tuscan	EUR	European
ERR188454	NA19207	ERR188454_1.fastq.gz	ERR188454_2.fastq.gz	male	SAME122984	YRI	Yoruba	AFR	African
ERR188455	HG00146	ERR188455_1.fastq.gz	ERR188455_2.fastq.gz	female	SAME124390	GBR	British	EUR	European
ERR188456	HG00249	ERR188456_1.fastq.gz	ERR188456_2.fastq.gz	female	SAME123227	GBR	British	EUR	European
ERR188457	HG00280	ERR188457_1.fastq.gz	ERR188457_2.fastq.gz	male	SAME122831	FIN	Finnish	EUR	European
ERR188458	NA20516	ERR188458_1.fastq.gz	ERR188458_2.fastq.gz	male	SAME124556	TSI	Tuscan	EUR	European
ERR188459	NA19143	ERR188459_1.fastq.gz	ERR188459_2.fastq.gz	female	SAME124609	YRI	Yoruba	AFR	African
ERR188460	NA19153	ERR188460_1.fastq.gz	ERR188460_2.fastq.gz	male	SAME123019	YRI	Yoruba	AFR	African
ERR188461	HG00126	ERR188461_1.fastq.gz	ERR188461_2.fastq.gz	male	SAME122872	GBR	British	EUR	European
ERR188462	HG00375	ERR188462_1.fastq.gz	ERR188462_2.fastq.gz	male	SAME124750	FIN	Finnish	EUR	European
ERR188463	NA19247	ERR188463_1.fastq.gz	ERR188463_2.fastq.gz	female	SAME123691	YRI	Yoruba	AFR	African
ERR188464	HG00252	ERR188464_1.fastq.gz	ERR188464_2.fastq.gz	male	SAME123052	GBR	British	EUR	European
ERR188465	HG00112	ERR188465_1.fastq.gz	ERR188465_2.fastq.gz	male	SAME125341	GBR	British	EUR	European
ERR188466	HG00142	ERR188466_1.fastq.gz	ERR188466_2.fastq.gz	male	SAME124818	GBR	British	EUR	European
ERR188467	NA12286	ERR188467_1.fastq.gz	ERR188467_2.fastq.gz	male	SAME124642	CEU	CEPH	EUR	European
ERR188468	HG00154	ERR188468_1.fastq.gz	ERR188468_2.fastq.gz	female	SAME124587	GBR	British	EUR	European
ERR188469	HG01334	ERR188469_1.fastq.gz	ERR188469_2.fastq.gz	male	SAME123533	GBR	British	EUR	European
ERR188470	HG02215	ERR188470_1.fastq.gz	ERR188470_2.fastq.gz	female	SAME123904	GBR	British	EUR	European
ERR188471	NA19130	ERR188471_1.fastq.gz	ERR188471_2.fastq.gz	male	SAME125229	YRI	Yoruba	AFR	African
ERR188472	HG00378	ERR188472_1.fastq.gz	ERR188472_2.fastq.gz	female	SAME124745	FIN	Finnish	EUR	European
ERR188473	HG00344	ERR188473_1.fastq.gz	ERR188473_2.fastq.gz	female	SAME125255	FIN	Finnish	EUR	European
ERR188474	NA07051	ERR188474_1.fastq.gz	ERR188474_2.fastq.gz	male	SAME124378	CEU	CEPH	EUR	European
ERR188475	NA20815	ERR188475_1.fastq.gz	ERR188475_2.fastq.gz	male	SAME125187	TSI	Tuscan	EUR	European
ERR188476	NA19093	ERR188476_1.fastq.gz	ERR188476_2.fastq.gz	female	SAME123172	YRI	Yoruba	AFR	African
ERR188477	NA12778	ERR188477_1.fastq.gz	ERR188477_2.fastq.gz	female	SAME124249	CEU	CEPH	EUR	European
ERR188478	HG01791	ERR188478_1.fastq.gz	ERR188478_2.fastq.gz	male	SAME124221	GBR	British	EUR	European
ERR188479	NA20761	ERR188479_1.fastq.gz	ERR188479_2.fastq.gz	female	SAME124363	TSI	Tuscan	EUR	European
ERR188480	HG00362	ERR188480_1.fastq.gz	ERR188480_2.fastq.gz	female	SAME124537	FIN	Finnish	EUR	European
ERR188481	NA07048	ERR188481_1.fastq.gz	ERR188481_2.fastq.gz	male	SAME124188	CEU	CEPH	EUR	European
ERR188482	HG00308	ERR188482_1.fastq.gz	ERR188482_2.fastq.gz	male	SAME124161	FIN	Finnish	EUR	European
