sample_id	genotype_id	fq1	fq2	sex	biosample_id	population_code	population_name	superpopulation_code	superpopulation_name
ERR188263	HG00281	ERR188263_1.fastq.gz	ERR188263_2.fastq.gz	female	SAME122832	FIN	Finnish	EUR	European
ERR188264	HG00274	ERR188264_1.fastq.gz	ERR188264_2.fastq.gz	female	SAME123422	FIN	Finnish	EUR	European
ERR188265	NA20814	ERR188265_1.fastq.gz	ERR188265_2.fastq.gz	male	SAME125188	TSI	Tuscan	EUR	European
ERR188266	HG00282	ERR188266_1.fastq.gz	ERR188266_2.fastq.gz	female	SAME122833	FIN	Finnish	EUR	European
ERR188267	HG00266	ERR188267_1.fastq.gz	ERR188267_2.fastq.gz	female	SAME123576	FIN	Finnish	EUR	European
ERR188268	NA19095	ERR188268_1.fastq.gz	ERR188268_2.fastq.gz	female	SAME123170	YRI	Yoruba	AFR	African
ERR188269	NA18916	ERR188269_1.fastq.gz	ERR188269_2.fastq.gz	female	SAME123408	YRI	Yoruba	AFR	African
ERR188270	HG00342	ERR188270_1.fastq.gz	ERR188270_2.fastq.gz	male	SAME124924	FIN	Finnish	EUR	European
ERR188271	HG00246	ERR188271_1.fastq.gz	ERR188271_2.fastq.gz	male	SAME123219	GBR	British	EUR	European
ERR188272	NA11881	ERR188272_1.fastq.gz	ERR188272_2.fastq.gz	male	SAME123209	CEU	CEPH	EUR	European
ERR188273	NA18505	ERR188273_1.fastq.gz	ERR188273_2.fastq.gz	female	SAME125062	YRI	Yoruba	AFR	African
ERR188274	HG00277	ERR188274_1.fastq.gz	ERR188274_2.fastq.gz	male	SAME123423	FIN	Finnish	EUR	European
ERR188275	NA19201	ERR188275_1.fastq.gz	ERR188275_2.fastq.gz	female	SAME122990	YRI	Yoruba	AFR	African
ERR188276	NA20758	ERR188276_1.fastq.gz	ERR188276_2.fastq.gz	male	SAME125117	TSI	Tuscan	EUR	European
ERR188277	NA12340	ERR188277_1.fastq.gz	ERR188277_2.fastq.gz	male	SAME125157	CEU	CEPH	EUR	European
ERR188278	NA18861	ERR188278_1.fastq.gz	ERR188278_2.fastq.gz	female	SAME124905	YRI	Yoruba	AFR	African
ERR188279	NA12776	ERR188279_1.fastq.gz	ERR188279_2.fastq.gz	female	SAME124256	CEU	CEPH	EUR	European
ERR188280	HG00381	ERR188280_1.fastq.gz	ERR188280_2.fastq.gz	female	SAME123030	FIN	Finnish	EUR	European
ERR188281	NA20801	ERR188281_1.fastq.gz	ERR188281_2.fastq.gz	male	SAME125365	TSI	Tuscan	EUR	European
ERR188282	NA20809	ERR188282_1.fastq.gz	ERR188282_2.fastq.gz	male	SAME125359	TSI	Tuscan	EUR	European
ERR188283	NA18907	ERR188283_1.fastq.gz	ERR188283_2.fastq.gz	female	SAME123563	YRI	Yoruba	AFR	African
ERR188284	NA19223	ERR188284_1.fastq.gz	ERR188284_2.fastq.gz	male	SAME125223	YRI	Yoruba	AFR	African
ERR188285	HG00122	ERR188285_1.fastq.gz	ERR188285_2.fastq.gz	female	SAME122876	GBR	British	EUR	European
ERR188286	NA20805	ERR188286_1.fastq.gz	ERR188286_2.fastq.gz	male	SAME125361	TSI	Tuscan	EUR	European
ERR188287	HG00156	ERR188287_1.fastq.gz	ERR188287_2.fastq.gz	male	SAME123276	GBR	British	EUR	European
ERR188288	NA20507	ERR188288_1.fastq.gz	ERR188288_2.fastq.gz	female	SAME124361	TSI	Tuscan	EUR	European
ERR188289	HG00232	ERR188289_1.fastq.gz	ERR188289_2.fastq.gz	female	SAME124128	GBR	British	EUR	European
ERR188290	NA20811	ERR188290_1.fastq.gz	ERR188290_2.fastq.gz	male	SAME123069	TSI	Tuscan	EUR	European
ERR188291	NA12813	ERR188291_1.fastq.gz	ERR188291_2.fastq.gz	female	SAME123024	CEU	CEPH	EUR	European
ERR188292	NA19189	ERR188292_1.fastq.gz	ERR188292_2.fastq.gz	male	SAME123869	YRI	Yoruba	AFR	African
ERR188293	HG00116	ERR188293_1.fastq.gz	ERR188293_2.fastq.gz	male	SAME125345	GBR	British	EUR	European
ERR188294	HG00332	ERR188294_1.fastq.gz	ERR188294_2.fastq.gz	female	SAME123987	FIN	Finnish	EUR	European
ERR188295	NA20757	ERR188295_1.fastq.gz	ERR188295_2.fastq.gz	female	SAME124176	TSI	Tuscan	EUR	European
ERR188296	HG00330	ERR188296_1.fastq.gz	ERR188296_2.fastq.gz	female	SAME123985	FIN	Finnish	EUR	European
ERR188297	NA20503	ERR188297_1.fastq.gz	ERR188297_2.fastq.gz	female	SAME124357	TSI	Tuscan	EUR	European
ERR188298	NA18867	ERR188298_1.fastq.gz	ERR188298_2.fastq.gz	female	SAME124904	YRI	Yoruba	AFR	African
ERR188299	HG00376	ERR188299_1.fastq.gz	ERR188299_2.fastq.gz	female	SAME124751	FIN	Finnish	EUR	European
ERR188300	HG00319	ERR188300_1.fastq.gz	ERR188300_2.fastq.gz	female	SAME124334	FIN	Finnish	EUR	European
ERR188301	NA11994	ERR188301_1.fastq.gz	ERR188301_2.fastq.gz	male	SAME123967	CEU	CEPH	EUR	European
ERR188302	HG00183	ERR188302_1.fastq.gz	ERR188302_2.fastq.gz	male	SAME123642	FIN	Finnish	EUR	European
ERR188303	HG00364	ERR188303_1.fastq.gz	ERR188303_2.fastq.gz	female	SAME124543	FIN	Finnish	EUR	European
ERR188304	HG00179	ERR188304_1.fastq.gz	ERR188304_2.fastq.gz	female	SAME124965	FIN	Finnish	EUR	European
