fastq_md5	fastq_ftp
626271bad62b82d75bf507d127372bf8;121cc6399577757bf592499f3a7e8f2c	ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225884/ERR225884_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225884/ERR225884_2.fastq.gz
abc1088a45865ebe5bf1feb7f39d875a;97bd8ad1851c43da311d3944718d3b3c	ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225885/ERR225885_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225885/ERR225885_2.fastq.gz
e8146baaae7606b5eb731fd8b044dea7;f0c902bc48fc40f85575c3db1d887070	ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225886/ERR225886_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225886/ERR225886_2.fastq.gz
c229234e236b1a412af65ef66614b51a;db6be906de61e607d73a1f4120e89eb0	ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225889/ERR225889_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225889/ERR225889_2.fastq.gz
ea3a9f63b4017a7e610dc30b0776dee9;fcf587267102ff7947f707a880fe9e57	ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225890/ERR225890_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225890/ERR225890_2.fastq.gz
c86c78a3411cbe06e1bdabe2b0ba0e9b;633162c662658413971021e7e1a8fd9a	ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225891/ERR225891_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225891/ERR225891_2.fastq.gz
295ab1e1bdf50fc316d76258a46ec328;21f7c29d24409ae462887b6f914c9104	ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225892/ERR225892_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225892/ERR225892_2.fastq.gz
2b3a19210e1d42d3250156049af68a25;203ece50d1699cca56cbe78cabe77dba	ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225893/ERR225893_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225893/ERR225893_2.fastq.gz
3273705d90d736831c2e9177fc4474e8;82c126364af1a9cf09ddd38cd59ead2c	ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225894/ERR225894_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225894/ERR225894_2.fastq.gz
d9a5bf75c5bd8cbb0cdb6fb42f33adbe;e3062df5bcaf18b2b12878de27579370	ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225895/ERR225895_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225895/ERR225895_2.fastq.gz
a371f61421364051cbfba7ea3999a45d;4cf97e1acf99aa6cae6b13a69d855738	ftp.sra.ebi.ac.uk/vol1/fastq/ERR720/ERR720266/ERR720266_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR720/ERR720266/ERR720266_2.fastq.gz
bd0e00d572ffa5af0db9e4db0ad52bbf;a5e3b8fad1ceab193658938b859ab96a	ftp.sra.ebi.ac.uk/vol1/fastq/ERR720/ERR720267/ERR720267_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR720/ERR720267/ERR720267_2.fastq.gz
c6ccfeeecb9507d85ddf1d92b7036e54;436e1f4a6b9c75aa8d1ff67252cebce1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR720/ERR720268/ERR720268_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR720/ERR720268/ERR720268_2.fastq.gz
