biosample_id	sample_id	sample_name	sex	donor_id
SAMN10104063	SRR7463612	1472V110311_IFN	female	IGTB1472
SAMN10104032	SRR7463613	1474V020912_IFN	female	IGTB1474
SAMN10103963	SRR7463614	1475V013112_IFN	male	IGTB1475
SAMN10104222	SRR7463615	1478V020812_IFN	female	IGTB1478
SAMN10104361	SRR7463616	1479V092911_IFN	male	IGTB1479
SAMN10103927	SRR7463617	1483V092811_IFN	male	IGTB1483
SAMN10104206	SRR7463618	1488V121411_IFN	female	IGTB1488
SAMN10104160	SRR7463619	1489V101211_IFN	male	IGTB1489
SAMN10104196	SRR7463620	1502V120811_IFN	female	IGTB501
SAMN10104202	SRR7463621	1505V121511_IFN	female	IGTB1505
SAMN10104465	SRR7463622	1521V011112_IFN	male	IGTB1521
SAMN10104200	SRR7463623	1523V113011_IFN	female	IGTB1523
SAMN10103971	SRR7463624	1531V111611_IFN	female	IGTB1531
SAMN10104337	SRR7463625	1538V110211_IFN	male	IGTB1538
SAMN10103941	SRR7463626	1547V110111_IFN	male	IGTB1547
SAMN10104066	SRR7463627	1553V011212_IFN	female	IGTB1553
SAMN10104413	SRR7463628	1556V112311_IFN	female	IGTB1556
SAMN10104000	SRR7463629	1559V111511_IFN	male	IGTB1559
SAMN10104379	SRR7463630	1565V022812_IFN	male	IGTB1565
SAMN10104347	SRR7463631	1575V120711_IFN	female	IGTB1575
SAMN10104363	SRR7463632	1577V111711_IFN	male	IGTB1577
SAMN10104070	SRR7463633	1586V112211_IFN	male	IGTB1586
SAMN10104359	SRR7463634	1587V011712_IFN	female	IGTB1587
SAMN10103929	SRR7463635	1589V020812_IFN	female	IGTB1589
SAMN10104167	SRR7463636	1592V113011_IFN	female	IGTB1592
SAMN10104377	SRR7463637	1597V120611_IFN	female	IGTB1597
SAMN10104341	SRR7463638	1601V112211_IFN	female	IGTB1601
SAMN10104224	SRR7463639	1603V120711_IFN	male	IGTB1603
SAMN10104023	SRR7463640	1605V021412_IFN	male	IGTB1605
SAMN10104440	SRR7463641	1639V011812_IFN	male	IGTB1639
SAMN10104076	SRR7463642	1650V011012_IFN	female	IGTB1650
SAMN10104435	SRR7463643	1652V011912_IFN	male	IGTB1652
SAMN10103961	SRR7463644	1654V022112_IFN	female	IGTB775
SAMN10104139	SRR7463645	1660V012412_IFN	female	IGTB1660
SAMN10104165	SRR7463646	1671V011712_IFN	male	IGTB1671
SAMN10104098	SRR7463647	1674V011812_IFN	female	IGTB1674
SAMN10104022	SRR7463648	1679V020912_IFN	female	IGTB1679
SAMN10104268	SRR7463649	1683V020712_IFN	female	IGTB1683
SAMN10104266	SRR7463650	1684V021612_IFN	female	IGTB1684
SAMN10104144	SRR7463651	1686V022212_IFN	male	IGTB1686
SAMN10104164	SRR7463652	1698V022812_IFN	male	IGTB1698
SAMN10104253	SRR7463653	0010V052510_FLU	female	IGTB616
SAMN10104490	SRR7463654	0064V080311_FLU	female	IGTB64
SAMN10104294	SRR7463655	0109V022912_FLU	male	IGTB109
SAMN10104216	SRR7463656	0119V052510_FLU	female	IGTB119
SAMN10104324	SRR7463657	0176V081611_FLU	male	IGTB176
SAMN10104484	SRR7463658	0178V031011_FLU	female	IGTB178
SAMN10104041	SRR7463659	0187V080211_FLU	male	IGTB187
SAMN10103933	SRR7463660	0190V030911_FLU	male	IGTB190
SAMN10104101	SRR7463661	0195V011212_FLU	female	IGTB195
SAMN10104298	SRR7463662	0230V011712_FLU	female	IGTB230
SAMN10104121	SRR7463663	0231V060711_FLU	male	IGTB231
SAMN10104416	SRR7463664	0256V071211_FLU	female	IGTB256
SAMN10104142	SRR7463665	0274V052610_FLU	male	IGTB274
SAMN10104394	SRR7463666	0277V102511_FLU	male	IGTB277
SAMN10104278	SRR7463667	0312V011012_FLU	female	IGTB312
SAMN10104285	SRR7463668	0329V101311_FLU	male	IGTB329
SAMN10103948	SRR7463669	0330V121511_FLU	female	IGTB330
SAMN10104067	SRR7463670	0350V081811_FLU	female	IGTB350
SAMN10104223	SRR7463671	0351V081711_FLU	male	IGTB351
SAMN10104189	SRR7463672	0373V021711_FLU	male	IGTB373
SAMN10104431	SRR7463673	0374V121311_FLU	female	IGTB374
SAMN10103923	SRR7463674	0398V050311_FLU	female	IGTB398
SAMN10103940	SRR7463675	0412V021511_FLU	male	IGTB412
