 FID                 IID       PEDSEX       SNPSEX       STATUS            F
 266   5434289051_R06C01            1            1           OK        0.939
 267   8543229075_R04C02            2            2           OK      0.04003
 268   5434289105_R04C01            2            2           OK     0.004546
 269   5443804058_R01C01            2            2           OK      0.01706
 270   5434289093_R03C01            1            1           OK       0.9383
 271   5434289001_R04C02            2            2           OK     -0.03279
 272   5434289081_R06C02            2            2           OK     0.007473
 273   8543229003_R04C01            2            2           OK     -0.02209
 274   8543229098_R04C01            2            2           OK      0.00182
 275   8327817141_R01C01            2            2           OK        0.045
 276   8324843130_R01C02            2            2           OK      0.01677
 277   8546260098_R03C02            2            2           OK    -0.002217
 278   5434289003_R06C02            2            2           OK     -0.01312
 279   5443804115_R03C01            2            2           OK     0.000668
 280   5434289041_R01C02            2            2           OK    -0.001125
 281   5434289075_R06C01            1            1           OK       0.9143
 282   5434289001_R05C01            0            2      PROBLEM     -0.03803
 283   5434289093_R02C02            2            2           OK      0.02902
 284   8324843038_R01C02            2            2           OK      -0.0348
 285   8543229098_R05C02            2            2           OK      0.01129
 286   8543229003_R05C02            2            2           OK      0.04466
 287   5434289105_R05C02            2            2           OK     -0.03504
 288   8543229075_R05C01            1            1           OK       0.9023
 289   5443804068_R03C01            1            1           OK       0.9451
 290   5434289099_R05C02            0            2      PROBLEM      0.02638
 291   8327817131_R06C01            2            2           OK     -0.01669
 292   5434289074_R05C01            1            1           OK       0.9455
 293   8543229215_R03C02            1            1           OK       0.9309
 294   8327817147_R06C02            2            2           OK      -0.0393
 295   5434289071_R02C01            2            2           OK     -0.01998
 296   8324843039_R02C02            1            1           OK       0.9219
 297   5443804116_R03C02            1            1           OK       0.9452
 298   5434289104_R06C02            2            2           OK     -0.02715
 299   5434289074_R04C02            1            1           OK       0.9441
 300   8543229215_R02C01            1            1           OK       0.9329
 301   5443804068_R02C02            2            2           OK    -0.003297
 302   5443804116_R02C01            1            1           OK       0.9405
 303   8324843039_R03C01            1            1           OK       0.9289
 304   5434289071_R03C02            2            2           OK      0.02935
 305   5434289104_R03C02            2            2           OK    0.0008817
 306   8327817147_R03C02            1            1           OK       0.9101
 307   8543229215_R06C02            1            1           OK       0.9297
 308   8327817131_R03C01            1            1           OK       0.9231
 309   5443804068_R06C01            2            2           OK     -0.07399
 310   8324843039_R06C01            2            2           OK      0.05153
 311   5434289071_R06C02            1            1           OK        0.941
 312   5434289104_R02C01            1            1           OK       0.9441
 313   8327817131_R02C02            1            1           OK        0.935
 314   5434289099_R01C01            2            2           OK      0.05586
 315   8327817147_R02C01            1            1           OK        0.891
 316   5434289074_R01C02            2            2           OK      0.02043
 317   8543229003_R01C01            2            2           OK     0.002989
 318   5434289081_R03C02            2            2           OK     -0.05527
 319   8543229098_R01C01            0            2      PROBLEM     -0.01264
 320   8324843038_R05C01            1            1           OK       0.9175
 321   5434289093_R06C01            1            1           OK       0.9434
 322   5434289001_R01C02            2            2           OK      0.04936
 323   8543229075_R01C02            0            1      PROBLEM       0.8267
 324   5443804058_R04C01            1            1           OK       0.9446
 325   5434289105_R01C01            2            2           OK       0.0304
 326   5434289058_R04C02            1            1           OK       0.9368
 327   5434289051_R03C01            1            1           OK       0.9389
